seed,t,src,dst,dist_m,rssi_level,rssi_slope,rssi_n,beacon_ratio,retry_rate,tx_attempts,trials_probe,fails_probe,trials_cbr,fails_cbr,trials_future,fails_future,pdr_future
1,4.0000,0,7,496.4530,-82.6854,-0.3222,8,0.2000,0.6667,6,8,7,0,0,8,7,0.1250
1,4.0000,0,8,365.8983,-81.8931,0.0417,19,0.4750,0.8571,7,7,6,0,0,7,6,0.1429
1,4.0000,0,9,528.4067,-85.3604,0.0915,7,0.1750,1.0000,8,7,5,0,0,7,5,0.2857
1,4.0000,0,12,351.6257,-80.2569,0.3655,22,0.5500,0.6667,6,7,4,0,0,7,4,0.4286
1,4.0000,0,13,823.0345,-88.1630,-1.3238,3,0.0750,1.0000,4,4,4,0,0,4,4,0.0000
1,4.0000,0,17,625.6556,-84.9623,0.7543,6,0.1500,1.0000,6,5,4,0,0,5,4,0.2000
1,4.0000,0,23,830.8313,-85.9577,-0.0264,3,0.0750,,0,6,6,0,0,6,6,0.0000
1,4.0000,0,27,218.1001,-77.2877,0.7625,32,0.8000,0.4000,5,6,4,0,0,6,4,0.3333
1,4.0000,0,33,319.0283,-78.9801,0.1504,32,0.8000,1.0000,6,7,3,0,0,7,3,0.5714
1,4.0000,0,36,534.2009,-84.0289,-0.9879,7,0.1750,1.0000,2,7,6,0,0,7,6,0.1429
1,4.0000,0,38,564.0616,-84.5254,0.4790,10,0.2500,1.0000,8,8,7,0,0,8,7,0.1250
1,4.0000,0,40,260.1666,-77.3076,-0.4126,33,0.8250,0.0000,4,8,8,0,0,8,8,0.0000
1,4.0000,0,44,669.0820,-86.3144,1.7015,5,0.1250,1.0000,8,6,6,0,0,6,6,0.0000
1,4.0000,0,50,965.9296,-86.2568,0.7912,4,0.1000,1.0000,4,4,4,0,0,4,4,0.0000
1,4.0000,0,51,635.5859,-86.2310,-0.2349,6,0.1500,1.0000,4,8,8,0,0,8,8,0.0000
1,4.0000,0,64,732.0567,-86.9564,0.1064,5,0.1250,1.0000,2,8,8,0,0,8,8,0.0000
