seed,t,src,dst,dist_m,rssi_level,rssi_slope,rssi_n,beacon_ratio,retry_rate,tx_attempts,trials_probe,fails_probe,trials_cbr,fails_cbr,trials_future,fails_future,pdr_future
3,4.0000,0,1,495.9335,-83.9807,1.1182,11,0.2750,0.8571,7,8,6,0,0,8,6,0.2500
3,4.0000,0,12,757.1207,-85.4995,1.1192,3,0.0750,1.0000,4,8,8,0,0,8,8,0.0000
3,4.0000,0,17,293.1632,-78.6182,0.2953,30,0.7500,0.5000,6,5,2,0,0,5,2,0.6000
3,4.0000,0,18,388.1607,-81.1622,0.6089,18,0.4500,1.0000,8,8,7,0,0,8,7,0.1250
3,4.0000,0,25,767.3893,-87.1420,-0.8169,4,0.1000,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,0,34,409.0783,-82.1839,0.0285,20,0.5000,0.8750,8,8,6,0,0,8,6,0.2500
3,4.0000,0,39,456.5783,-83.0562,0.2087,11,0.2750,1.0000,8,7,6,0,0,7,6,0.1429
3,4.0000,0,46,367.1090,-80.3703,-0.0333,28,0.7000,0.8333,6,6,4,0,0,6,4,0.3333
3,4.0000,0,48,651.6317,-85.2506,-0.4813,3,0.0750,0.8750,8,7,6,0,0,7,6,0.1429
3,4.0000,0,54,137.7126,-73.2061,0.5525,34,0.8500,0.0000,4,5,2,0,0,5,2,0.6000
3,4.0000,0,57,812.6875,-85.4215,0.5563,6,0.1500,1.0000,4,6,6,0,0,6,6,0.0000
3,4.0000,0,63,715.1583,-86.9358,0.1266,4,0.1000,1.0000,8,6,6,0,0,6,6,0.0000
3,4.0000,0,66,377.4196,-79.8907,-1.1169,29,0.7250,0.5714,7,7,6,0,0,7,6,0.1429
3,4.0000,0,70,379.3705,-81.6928,0.1264,24,0.6000,0.8571,7,7,6,0,0,7,6,0.1429
3,4.0000,0,73,384.6523,-83.3375,0.3167,16,0.4000,0.8571,7,5,1,0,0,5,1,0.8000
3,4.0000,0,75,715.1242,-86.9802,-0.1237,6,0.1500,1.0000,6,4,4,0,0,4,4,0.0000
3,4.0000,0,76,541.2105,-84.1700,-0.0632,17,0.4250,0.7143,7,8,8,0,0,8,8,0.0000
3,4.0000,0,78,912.0048,-86.8218,1.0132,3,0.0750,1.0000,8,2,2,0,0,2,2,0.0000
3,4.0000,1,0,495.9335,-83.3742,-0.1514,17,0.4359,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,1,6,210.3628,-74.8807,-0.0957,34,0.8718,0.0000,4,7,4,0,0,7,4,0.4286
3,4.0000,1,7,433.0696,-84.0636,0.4924,7,0.1795,0.8571,7,7,6,0,0,7,6,0.1429
3,4.0000,1,12,650.1600,-85.2205,-0.1524,7,0.1795,1.0000,8,8,8,0,0,8,8,0.0000
3,4.0000,1,13,524.7611,-83.4975,-0.4406,7,0.1795,1.0000,8,8,7,0,0,8,7,0.1250
3,4.0000,1,15,682.2818,-84.3287,-0.9777,9,0.2308,0.8571,7,8,8,0,0,8,8,0.0000
